Year,Month,Economic_Confidence_Index,Consumer_Confidence_Index,Real_Sector_Confidence_Index,Services_Confidence_Index,Retail_Trade_Confidence_Index,Construction_Confidence_Index
2017.0,9.0,108.43804478497462,92.002596757,111.2,122.3783565,124.1064359,94.61075197
2017.0,10.0,108.14799733308695,89.92464652725,112.2,121.7769555,123.0849148,94.59496398
2017.0,11.0,105.52085706278953,87.5857456775,109.8,119.9494339,119.0568984,93.2108019
2017.0,12.0,104.45450737110362,88.21802142025,109.2,117.7035762,119.8508461,91.48781962
2018.0,1.0,108.20668202586995,92.740871051,110.9,120.1614924,124.123472,97.07142305
2018.0,2.0,107.36964508898127,93.363854929,110.8,118.3756541,122.7757252,94.20337773
2018.0,3.0,105.28462095930726,92.46176799525,109.5,116.9356533,121.0980392,89.02395476
2018.0,4.0,103.37730570110223,91.7129356825,106.8,114.5191191,118.7708204,89.55581798
2018.0,5.0,102.06053309025916,90.670684619,106.7,111.7339052,116.2712951,88.98206454
2018.0,6.0,99.26873906940526,90.5979171215,102.5,110.1353362,113.022699,86.85611882
2018.0,7.0,99.44938592402804,92.07267619075,101.5,110.6397787,115.2659313,88.22428416
2018.0,8.0,93.63326385860157,88.1944886285,96.3,105.892934,108.8982568,79.97001172
2018.0,9.0,85.75074167315235,81.14666872,90.4,97.87685586,103.7620828,67.40069939
2018.0,10.0,84.0598044371156,78.799103887,91.1,95.54820649,102.2392245,68.66853789
2018.0,11.0,88.81329292644865,81.2167775085,96.8,99.29433406,107.1543406,66.76773971
2018.0,12.0,89.83018771607064,80.09211772625,97.7,101.3604862,115.1695598,65.18585112
2019.0,1.0,87.85655243368834,80.50317560925,95.4,98.6593984,110.8834386,66.38628323
2019.0,2.0,88.0246551353727,79.2151706251898,96.9,99.20143111,108.6515171,62.57690765
2019.0,3.0,90.83717076855693,81.3097516575636,99.3,102.426191,108.9844173,63.31307958
2019.0,4.0,92.18293267974825,83.6194255377943,100,103.8973183,109.4046571,64.29120057
2019.0,5.0,87.12381805112607,76.8926249475052,94.7,101.7078837,109.3689504,60.73216446
2019.0,6.0,92.2144044054193,79.7503995188517,99.6,107.2355586,113.4559815,62.08225951
2019.0,7.0,89.77529603012748,78.2595048944739,96.6,105.3102267,110.0111725,64.39362656
2019.0,8.0,93.86375467352555,79.1406746559836,102.1,109.4535704,112.697604,67.69914094
2019.0,9.0,92.95804323761936,77.6598650946611,99.7,109.3577994,116.9491791,72.63479478
2019.0,10.0,96.62960568009774,78.4666698708236,104.2,111.2374282,121.649308,77.42598058
2019.0,11.0,97.33993832753733,81.283946919723,105.9,110.4763084,120.0801274,75.37259534
2019.0,12.0,99.93431371153471,80.7267056869084,108.7,113.3797945,123.4350153,80.51207821
2020.0,1.0,100.09298709311372,81.3709611499374,106.4,113.7308802,124.7808958,89.49641709
2020.0,2.0,99.26149687648349,79.6238527303283,106.7,115.6378535,121.9748711,85.00663996
2020.0,3.0,94.8965254720741,81.1193824299564,98.6,111.0821618,120.703298,87.54819541
2020.0,4.0,53.34217476204154,78.142392889127,62.3,53.79488232,78.16092517,50.85131718
2020.0,5.0,64.89481274770397,82.6669066462524,73.5,62.08380553,87.61969567,68.29122754
2020.0,6.0,79.04326671554523,82.674561486403,89.8,73.4784741,104.0803801,90.76690032
2020.0,7.0,89.39217711611238,82.2772580492208,99.4,89.37860384,115.5217169,99.33158183
2020.0,8.0,92.29957730603527,79.433338436468,105.2,93.75380092,114.7478503,96.42813046
2020.0,9.0,94.37098405453891,81.9860382599842,105.7,98.16492,115.1004353,95.08667786
2020.0,10.0,97.66916099604249,81.9400531108372,109.7,100.6898833,120.6588133,93.167174
2020.0,11.0,96.30741280094165,80.1288812058671,107.4,102.7943271,122.0354902,90.07594359
2020.0,12.0,95.11189944888747,80.0888612402748,110.4,98.96284605,108.6883285,88.80881486
2021.0,1.0,96.67378989601303,83.26692878912,109,101.871147864653,108.536040753885,84.1690468852806
2021.0,2.0,96.0228788730009,84.5151530384245,108.7,100.397821121516,108.939391007332,83.0764661363423
2021.0,3.0,99.39142889828292,86.6537530202342,110.2,105.502447281798,109.2032930645,79.7575946584435
2021.0,4.0,94.21164131021182,80.1715604504228,107.4,103.346663399083,103.069413527271,77.2976055923118
2021.0,5.0,92.99417502075485,77.2621920586168,107.1,102.216786074812,100.879446690983,79.6083742620561
2021.0,6.0,98.6003258086299,81.7227901973569,109.8,108.507233095394,105.679063726286,82.4481429851133
2021.0,7.0,101.49302105288555,79.477179545471,112.1,114.769303972397,109.639665356926,86.314369910591
2021.0,8.0,102.3251159642293,78.219138318763,112.2,116.122230880172,110.301028263965,92.4319443295998
2021.0,9.0,104.0330848970762,79.6502730013679,113.3,117.823603523208,115.570996357534,91.7637656677143
2021.0,10.0,103.00783172460955,76.7812152169359,111.3,120.276613124522,121.143972601423,92.7030754796046
2021.0,11.0,101.17518972156499,71.1483007782682,112,119.410292761656,121.928592779475,93.6346834701181
2021.0,12.0,99.39622268172315,68.9132809266828,110.1,118.80478476511,121.45600494894,90.0235751225764
2022.0,1.0,101.94,73.21,111.9,120.18,124.44,85.51
2022.0,2.0,99.2,71.15,109.9,118.69,119.75,82.67
2022.0,3.0,96.41,72.53,108.2,111.34,116.02,81
2022.0,4.0,95.64,67.27,107.7,114.64,119.39,83.45
2022.0,5.0,97.79,67.57,107,121.66,121.42,81.64
2022.0,6.0,94.6,63.36,104.6,119.63,118.66,83.04
2022.0,7.0,94.18,68.03,102.5,117.8,113.35,84.99
2022.0,8.0,94.82,72.16,101.4,116.24,112.88,86.26
2022.0,9.0,94.86,72.35,100.2,118.18,115.9,88.09
2022.0,10.0,97.71,76.15,102,119.26,119.39,90.53
2022.0,11.0,97.43,76.63,101.3,118.06,121.93,91.59
2022.0,12.0,98.23,75.64,101.6,120.11,127.47,92.64
2023.0,1.0,99.47,79.1,103.4,118.12,126.16,93.16
2023.0,2.0,99.13,82.5,102.4,115.53,123.1,89.8
2023.0,3.0,98.92,80.13,104.1,116.78,117.73,88.51
2023.0,4.0,102.37,87.52,105.1,118.05,116.16,88.38
2023.0,5.0,103.84,91.06,105.1,117.35,116.65,92.16
2023.0,6.0,101.25,85.13,105.7,118.05,117.74,88.91
2023.0,7.0,99.42,80.07,104.9,117.32,114.69,88.08
2023.0,8.0,94.24,68.01,104.6,115.33,114.28,87.43
2023.0,9.0,95.5,71.47,105.1,112.99,117.74,88.31
2023.0,10.0,96.63,74.62,105.3,113.57,113.91,89.07
2023.0,11.0,95.34,75.47,103.9,110.91,111.73,91.01
2023.0,12.0,96.41,77.42,103.4,112.25,116.78,88.02
2024.0,1.0,99.39400050618859,80.423109485187,102.9,116.752305203025,115.644093967019,90.9173247342855
2024.0,2.0,99.0177437515005,79.3428727185079,102,118.633803171501,114.479263138634,91.8494703418401
2024.0,3.0,100.048688899205,79.3547899261985,103.5,120.433146983894,113.301494415447,88.5543672705944
2024.0,4.0,99.00226008852955,80.46085072265602,103.5,117.103672845829,115.480068741451,88.56328591316465
2024.0,5.0,98.20526768901254,80.50803678077745,102.4,117.129905440379,111.662571545655,88.31799673679339
2024.0,6.0,95.7594470915891,78.3008784734719,100.5,115.401478633574,108.765335598467,87.8968863433367
2024.0,7.0,94.36396473074228,75.87954524746128,98.7,114.105337186597,107.096269681112,87.06383858471104
2024.0,8.0,93.1220676467046,76.3654733853298,98,111.839146260076,107.902895329526,88.0183456307443
2024.0,9.0,94.98429705625372,78.22093196551964,99.2,112.56257848600299,110.60033465227801,87.8029596597507
2024.0,10.0,97.9908535663039,80.5536456086346,102.2,114.23464150411,110.706500657102,86.3276524910798
